('1249', 'citrus fruit')
('2548', 'flour')
('2849', 'sauces')
('2954', 'fruit/vegetable juice')
('3366', 'chewing gum')
('3366', 'softener')
('4070', 'cake bar')
('4070', 'butter milk')
('4230', 'canned beer')
('4512', 'pip fruit')
('4594', 'tea')
('4650', 'roll products ')
('4809', 'chicken')
('4836', 'chocolate')
('4836', 'curd')
('4973', 'brown bread')
('1169', 'whipped/sour cream')
('1285', 'tropical fruit')
('1359', 'newspapers')
('1529', 'other vegetables')
('1529', 'margarine')
('1602', 'fruit/vegetable juice')
('1632', 'root vegetables')
('1653', 'long life bakery product')
('1798', 'beverages')
('1798', 'bottled water')
('2086', 'soda')
('2086', 'whole milk')
('2615', 'chocolate')
('2615', 'rolls/buns')
('2727', 'soda')
('2727', 'bottled beer')
('2789', 'yogurt')
('3098', 'citrus fruit')
('3098', 'sugar')
('3110', 'root vegetables')
('3110', 'herbs')
('3110', 'cereals')
('3204', 'tropical fruit')
('3297', 'processed cheese')
('3297', 'cat food')
('3584', 'soft cheese')
('3657', 'butter')
('3657', 'rolls/buns')
('3731', 'tropical fruit')
('3731', 'canned vegetables')
('3922', 'yogurt')
('4211', 'newspapers')
('4261', 'root vegetables')
('4319', 'detergent')
('1021', 'butter')
('1050', 'yogurt')
('1110', 'margarine')
('1632', 'misc. beverages')
('1693', 'cream cheese ')
('1693', 'canned beer')
('1842', 'vinegar')
('1842', 'newspapers')
('1908', 'zwieback')
('2111', 'other vegetables')
('2111', 'bottled beer')
('2201', 'whole milk')
('2201', 'ice cream')
('2219', 'root vegetables')
('2350', 'rolls/buns')
('2350', 'tidbits')
('2612', 'bottled water')
('2831', 'sliced cheese')
('2832', 'specialty chocolate')
('2832', 'bottled water')
('3481', 'yogurt')
('3649', 'rolls/buns')
('3649', 'soda')
('3917', 'pip fruit')
('3917', 'hard cheese')
('3917', 'detergent')
('3996', 'whole milk')
('3996', 'soda')
('4297', 'other vegetables')
('4297', 'rolls/buns')
('4297', 'brown bread')
('4606', 'long life bakery product')
('4622', 'bottled water')
('4661', 'whipped/sour cream')
('4661', 'candy')
('4860', 'bottled water')
('4901', 'other vegetables')
('4917', 'rolls/buns')
('1316', 'bottled beer')
('1316', 'curd')
('1452', 'margarine')
('1452', 'mayonnaise')
('1556', 'herbs')
('1716', 'whole milk')
('1716', 'chocolate')
('1883', 'dishes')
('1883', 'misc. beverages')
('1948', 'citrus fruit')
('1948', 'UHT-milk')
('2025', 'hamburger meat')
('2025', 'brown bread')
('2055', 'yogurt')
('2059', 'ham')
('2154', 'bottled beer')
('2293', 'pork')
('2336', 'other vegetables')
('2336', 'shopping bags')
('2763', 'shopping bags')
('2763', 'canned beer')
('2990', 'cream cheese ')
('2990', 'UHT-milk')
('3362', 'soda')
('3466', 'other vegetables')
('3466', 'rolls/buns')
('3466', 'whole milk')
('3515', 'brown bread')
('3515', 'canned vegetables')
('3515', 'canned beer')
('3612', 'yogurt')
('3645', 'chocolate')
('3930', 'pastry')
('3980', 'soda')
('4124', 'soda')
('4674', 'bottled water')
('4743', 'napkins')
('4985', 'whole milk')
('1057', 'soda')
('1410', 'sausage')
('1440', 'tropical fruit')
('1489', 'brown bread')
('1828', 'herbs')
('1828', 'rolls/buns')
('2010', 'other vegetables')
('2284', 'fruit/vegetable juice')
('2354', 'beverages')
('2354', 'soups')
('2354', 'white bread')
('2594', 'soft cheese')
('2594', 'hard cheese')
('2595', 'domestic eggs')
('3006', 'brown bread')
('3113', 'hygiene articles')
('3218', 'pastry')
('3218', 'waffles')
('3595', 'canned beer')
('3614', 'frozen meals')
('3743', 'soda')
('3743', 'photo/film')
('3768', 'dessert')
('3768', 'yogurt')
('4649', 'other vegetables')
('4649', 'soda')
('4913', 'whipped/sour cream')
('4975', 'berries')
('4975', 'bottled water')
('1025', 'shopping bags')
('1159', 'frozen vegetables')
('1159', 'domestic eggs')
('1160', 'root vegetables')
('1435', 'specialty chocolate')
('1435', 'baking powder')
('1524', 'whipped/sour cream')
('1524', 'brown bread')
('2321', 'chocolate')
('3104', 'frozen vegetables')
('3238', 'white bread')
('3238', 'newspapers')
('3248', 'pork')
('3518', 'finished products')
('3675', 'liquor')
('3877', 'soda')
('3877', 'liquor (appetizer)')
('4958', 'chewing gum')
('4958', 'coffee')
('1116', 'napkins')
('1493', 'organic sausage')
('1493', 'processed cheese')
('2556', 'soda')
('2556', 'other vegetables')
('2881', 'domestic eggs')
('3295', 'canned beer')
('3305', 'soda')
('3323', 'berries')
('3323', 'fruit/vegetable juice')
('3643', 'whipped/sour cream')
('3643', 'bottled beer')
('3643', 'margarine')
('3775', 'whole milk')
('3775', 'soda')
('3775', 'whipped/sour cream')
('3917', 'grapes')
('4515', 'bottled water')
('4515', 'white bread')
('4690', 'softener')
('4690', 'sliced cheese')
('1331', 'tropical fruit')
('1654', 'frozen dessert')
('1717', 'rolls/buns')
('1803', 'instant coffee')
('1922', 'curd cheese')
('2064', 'salad dressing')
('2064', 'hard cheese')
('2122', 'berries')
('2122', 'oil')
('3593', 'bottled water')
('3737', 'pork')
('3896', 'salty snack')
('3896', 'domestic eggs')
('4292', 'coffee')
('4329', 'butter milk')
('4406', 'hard cheese')
('4406', 'dessert')
('4680', 'soda')
('4823', 'root vegetables')
('1309', 'margarine')
('2075', 'sausage')
('2215', 'rolls/buns')
('2325', 'canned fruit')
('2744', 'rolls/buns')
('3158', 'frozen vegetables')
('3364', 'beef')
('3364', 'herbs')
('3557', 'brown bread')
('3670', 'chocolate')
('3851', 'pastry')
('3913', 'other vegetables')
('3913', 'bottled beer')
('3913', 'rolls/buns')
('3913', 'shopping bags')
('3942', 'rolls/buns')
('4065', 'bottled beer')
('4265', 'other vegetables')
('4272', 'cat food')
('4272', 'whole milk')
('4377', 'sliced cheese')
('4377', 'dish cleaner')
('4409', 'domestic eggs')
('4409', 'bottled water')
('4654', 'frozen vegetables')
('1037', 'citrus fruit')
('1037', 'shopping bags')
('1282', 'soda')
('1507', 'hair spray')
('1507', 'processed cheese')
('1870', 'waffles')
('1985', 'butter milk')
('1985', 'bottled water')
('2112', 'whole milk')
('2123', 'long life bakery product')
('2123', 'pastry')
('2194', 'beef')
('2194', 'whole milk')
('2194', 'soda')
('2389', 'UHT-milk')
('2439', 'bottled beer')
('2439', 'shopping bags')
('2653', 'dog food')
('2789', 'pork')
('2843', 'rum')
('2922', 'coffee')
('2957', 'shopping bags')
('2957', 'other vegetables')
('3309', 'whole milk')
('3479', 'herbs')
('3693', 'root vegetables')
('3693', 'whipped/sour cream')
('4091', 'other vegetables')
('4091', 'bottled beer')
('4121', 'yogurt')
('4407', 'misc. beverages')
('4407', 'liquor (appetizer)')
('4484', 'whipped/sour cream')
('4509', 'liquor')
('4624', 'soda')
('4962', 'hygiene articles')
('4962', 'yogurt')
('1297', 'sausage')
('1681', 'rolls/buns')
('1787', 'liquor')
('1792', 'pork')
('1792', 'bottled water')
('1932', 'oil')
('2119', 'onions')
('2120', 'yogurt')
('2197', 'long life bakery product')
('2197', 'onions')
('2285', 'pastry')
('2437', 'domestic eggs')
('2839', 'soda')
('3627', 'butter')
('3627', 'whole milk')
('3727', 'citrus fruit')
('3737', 'bottled water')
('3737', 'white bread')
('3767', 'onions')
('3767', 'yogurt')
('3767', 'white bread')
('4049', 'frankfurter')
('4049', 'canned fish')
('4049', 'beverages')
('4541', 'margarine')
('4541', 'cream cheese ')
('1095', 'flour')
('1337', 'napkins')
('1735', 'napkins')
('1796', 'coffee')
('2054', 'white bread')
('2497', 'whole milk')
('2530', 'cream cheese ')
('2530', 'shopping bags')
('3223', 'photo/film')
('3223', 'liquor')
('3224', 'hamburger meat')
('3224', 'cream cheese ')
('3363', 'salty snack')
('3484', 'pip fruit')
('3484', 'pickled vegetables')
('3936', 'pickled vegetables')
('4201', 'bottled beer')
('4348', 'citrus fruit')
('4348', 'whole milk')
('4523', 'newspapers')
('1150', 'long life bakery product')
('1150', 'bottled water')
('1278', 'citrus fruit')
('1278', 'hamburger meat')
('1278', 'photo/film')
('1696', 'coffee')
('2030', 'shopping bags')
('2076', 'hygiene articles')
('2226', 'whole milk')
('2323', 'sliced cheese')
('2323', 'napkins')
('2449', 'butter')
('2449', 'curd')
('2625', 'yogurt')
('3299', 'beef')
('3342', 'brandy')
('3515', 'root vegetables')
('3843', 'tropical fruit')
('3843', 'root vegetables')
('3909', 'red/blush wine')
('4280', 'domestic eggs')
('4280', 'butter milk')
('4280', 'long life bakery product')
('4387', 'white bread')
('4387', 'curd cheese')
('4773', 'jam')
('4773', 'margarine')
('4937', 'curd')
('4937', 'whipped/sour cream')
('1261', 'domestic eggs')
('1261', 'flower (seeds)')
('1664', 'pork')
('1849', 'whole milk')
('1849', 'butter')
('1849', 'shopping bags')
('2168', 'butter')
('2937', 'white bread')
('3034', 'sausage')
('3034', 'pip fruit')
('3341', 'detergent')
('3579', 'beef')
('3579', 'butter')
('3860', 'domestic eggs')
('4165', 'pip fruit')
('4165', 'syrup')
('4224', 'processed cheese')
('4284', 'soups')
('1275', 'dental care')
('2218', 'pot plants')
('2325', 'chocolate')
('2325', 'flour')
('2836', 'root vegetables')
('3569', 'sausage')
('3569', 'yogurt')
('4126', 'berries')
('4196', 'newspapers')
('4213', 'rolls/buns')
('4562', 'newspapers')
('4913', 'rolls/buns')
('1616', 'frozen meals')
('1652', 'bottled beer')
('1652', 'canned beer')
('1919', 'soft cheese')
('1919', 'white wine')
('2019', 'tropical fruit')
('2148', 'citrus fruit')
('2148', 'whole milk')
('2410', 'root vegetables')
('2428', 'fruit/vegetable juice')
('2463', 'root vegetables')
('2518', 'cream cheese ')
('2685', 'rolls/buns')
('2685', 'seasonal products')
('2916', 'pickled vegetables')
('3030', 'other vegetables')
('3030', 'whole milk')
('3207', 'bottled beer')
('3439', 'white bread')
('3549', 'frozen meals')
('3549', 'dish cleaner')
('3918', 'chewing gum')
('4046', 'butter')
('4311', 'frozen vegetables')
('4435', 'bottled beer')
('4637', 'chicken')
('4637', 'butter milk')
('4758', 'pasta')
('4758', 'root vegetables')
('4969', 'butter milk')
('4969', 'pip fruit')
('1023', 'soda')
('1041', 'chicken')
('1041', 'frozen vegetables')
('1246', 'berries')
('1954', 'processed cheese')
('1954', 'dishes')
('2204', 'chicken')
('2204', 'sliced cheese')
('2847', 'ham')
('2877', 'frozen meals')
('2877', 'mustard')
('2878', 'bottled water')
('3010', 'shopping bags')
('3020', 'rolls/buns')
('3020', 'bottled beer')
('3351', 'citrus fruit')
('3351', 'bottled beer')
('3421', 'pastry')
('3499', 'berries')
('3501', 'bottled beer')
('3501', 'whipped/sour cream')
('3615', 'sugar')
('3615', 'whole milk')
('3633', 'soda')
('3633', 'chocolate')
('4059', 'bottled water')
('4096', 'beef')
('4258', 'yogurt')
('4258', 'newspapers')
('4261', 'whole milk')
('4261', 'rolls/buns')
('4512', 'white bread')
('4897', 'dishes')
('4897', 'rolls/buns')
('4972', 'soda')
('4972', 'curd')
('1059', 'cling film/bags')
('1105', 'white bread')
('1107', 'onions')
('1235', 'canned beer')
('1235', 'bottled beer')
('1838', 'other vegetables')
('1838', 'ice cream')
('1934', 'root vegetables')
('1962', 'soda')
('3064', 'frozen vegetables')
('3666', 'bottled water')
('3763', 'ham')
('3763', 'whole milk')
('3850', 'misc. beverages')
('3895', 'curd')
('4036', 'rolls/buns')
('4036', 'misc. beverages')
('4193', 'sauces')
('4193', 'shopping bags')
('4257', 'sausage')
('4257', 'dessert')
('4362', 'whipped/sour cream')
('4362', 'seasonal products')
('4498', 'pastry')
('4508', 'whole milk')
('4984', 'snack products')
('1579', 'specialty bar')
('1579', 'canned beer')
('1660', 'misc. beverages')
('1697', 'pip fruit')
('2376', 'specialty chocolate')
('2472', 'whole milk')
('2642', 'pet care')
('2642', 'spices')
('2868', 'citrus fruit')
('2982', 'hard cheese')
('3045', 'turkey')
('3059', 'cat food')
('3258', 'tropical fruit')
('3258', 'bottled beer')
('3502', 'UHT-milk')
('3502', 'shopping bags')
('4223', 'whole milk')
('4314', 'butter')
('4779', 'citrus fruit')
('4779', 'specialty bar')
('1043', 'whole milk')
('1522', 'domestic eggs')
('1750', 'rolls/buns')
('1798', 'domestic eggs')
('1877', 'whipped/sour cream')
('1958', 'artif. sweetener')
('2164', 'UHT-milk')
('2164', 'cream cheese ')
('2259', 'frankfurter')
('2259', 'domestic eggs')
('2645', 'domestic eggs')
('2740', 'meat')
('2822', 'salty snack')
('2926', 'specialty bar')
('3107', 'newspapers')
('3107', 'yogurt')
('3317', 'shopping bags')
('3582', 'dessert')
('3582', 'domestic eggs')
('3663', 'whole milk')
('3663', 'root vegetables')
('3921', 'chicken')
('4056', 'rolls/buns')
('4056', 'cream cheese ')
('4721', 'other vegetables')
('4855', 'cat food')
('4855', 'whipped/sour cream')
('4855', 'whole milk')
('4864', 'specialty cheese')
('1256', 'tea')
('1256', 'coffee')
('1574', 'soda')
('1581', 'meat')
('1646', 'white bread')
('1646', 'frozen vegetables')
('1696', 'yogurt')
('2469', 'pet care')
('2469', 'photo/film')
('2701', 'rolls/buns')
('2801', 'other vegetables')
('3654', 'tropical fruit')
('3654', 'ice cream')
('3728', 'other vegetables')
('3728', 'whipped/sour cream')
('3803', 'butter')
('3803', 'rolls/buns')
('1026', 'long life bakery product')
('1323', 'whole milk')
('2086', 'sparkling wine')
('2086', 'liquor')
('2394', 'butter')
('2394', 'decalcifier')
('2398', 'dessert')
('2502', 'bottled water')
('2511', 'turkey')
('2637', 'whole milk')
('3072', 'instant coffee')
('3530', 'frozen meals')
('4455', 'root vegetables')
('4538', 'dishes')
('4603', 'bathroom cleaner')
('4931', 'berries')
('1017', 'beef')
('1075', 'UHT-milk')
('1087', 'specialty chocolate')
('1087', 'white bread')
('1109', 'chocolate')
('1109', 'whole milk')
('1652', 'beef')
('1652', 'curd')
('1932', 'fruit/vegetable juice')
('1932', 'bottled water')
('2041', 'yogurt')
('2186', 'whole milk')
('2472', 'herbs')
('2472', 'sugar')
('2584', 'flower (seeds)')
('2617', 'frozen meals')
('2817', 'bottled water')
('2854', 'shopping bags')
('3491', 'tropical fruit')
('3491', 'cat food')
('3672', 'sugar')
('3672', 'UHT-milk')
('3672', 'margarine')
('3902', 'root vegetables')
('3902', 'canned beer')
('3966', 'root vegetables')
('4092', 'root vegetables')
('4183', 'processed cheese')
('4183', 'dog food')
('4183', 'frozen potato products')
('4656', 'condensed milk')
('4711', 'other vegetables')
('4824', 'newspapers')
('1182', 'mustard')
('1412', 'rolls/buns')
('1412', 'specialty fat')
('1500', 'hygiene articles')
('1500', 'soups')
('1628', 'cream cheese ')
('1816', 'coffee')
('1889', 'ketchup')
('1889', 'rolls/buns')
('1927', 'rolls/buns')
('1927', 'mayonnaise')
('1927', 'flour')
('2552', 'female sanitary products')
('2552', 'whole milk')
('2760', 'vinegar')
('2760', 'pot plants')
('2901', 'chocolate')
('3006', 'other vegetables')
('3006', 'margarine')
('3877', 'cat food')
('4036', 'canned beer')
('4036', 'honey')
('4217', 'whole milk')
('4282', 'hair spray')
('4478', 'roll products ')
('4592', 'newspapers')
('4705', 'chewing gum')
('4714', 'misc. beverages')
('4720', 'bottled water')
('1285', 'citrus fruit')
('1285', 'ice cream')
('1285', 'butter')
('1285', 'shopping bags')
('1418', 'soda')
('1418', 'curd')
('1590', 'fruit/vegetable juice')
('1590', 'pip fruit')
('1621', 'yogurt')
('1621', 'butter milk')
('1655', 'brown bread')
('1655', 'frozen fish')
('2221', 'yogurt')
('3135', 'shopping bags')
('3153', 'whipped/sour cream')
('3244', 'root vegetables')
('3459', 'pastry')
('3678', 'yogurt')
('3678', 'newspapers')
('3839', 'whole milk')
('3839', 'pasta')
('4078', 'soda')
('4078', 'margarine')
('4262', 'canned beer')
('4457', 'pork')
('4711', 'whole milk')
('1012', 'frozen vegetables')
('1116', 'butter milk')
('1237', 'other vegetables')
('1237', 'cream cheese ')
('1488', 'white bread')
('1798', 'male cosmetics')
('1877', 'butter')
('2004', 'cream cheese ')
('2109', 'bottled water')
('2231', 'pastry')
('2440', 'coffee')
('2440', 'pip fruit')
('2851', 'bottled beer')
('2851', 'whipped/sour cream')
('2932', 'whole milk')
('2932', 'tropical fruit')
('2932', 'cat food')
('3021', 'root vegetables')
('3166', 'bottled water')
('3302', 'hygiene articles')
('3302', 'napkins')
('3357', 'bottled beer')
('3651', 'sausage')
('3651', 'pastry')
('3767', 'male cosmetics')
('3931', 'frozen vegetables')
('3931', 'baking powder')
('4525', 'beef')
('4538', 'soda')
('4577', 'mayonnaise')
('4582', 'root vegetables')
('4772', 'house keeping products')
('4937', 'rolls/buns')
('1204', 'rolls/buns')
('1951', 'frozen fish')
('1951', 'curd')
('2158', 'brown bread')
('2510', 'chocolate')
('2692', 'root vegetables')
('2692', 'soda')
('3361', 'soda')
('3961', 'butter')
('4038', 'canned beer')
('4200', 'hamburger meat')
('4200', 'shopping bags')
('4311', 'frozen meals')
('4311', 'newspapers')
('4515', 'frankfurter')
('4620', 'bottled beer')
('4673', 'curd')
('4673', 'flour')
('4773', 'other vegetables')
('1000', 'pastry')
('1000', 'salty snack')
('1184', 'newspapers')
('1294', 'dishes')
('1425', 'newspapers')
('1622', 'whole milk')
('1687', 'specialty bar')
('1687', 'other vegetables')
('1687', 'misc. beverages')
('2206', 'canned beer')
('2424', 'other vegetables')
('2424', 'soda')
('2437', 'butter milk')
('2437', 'fruit/vegetable juice')
('2514', 'newspapers')
('2993', 'yogurt')
('3153', 'misc. beverages')
('3827', 'canned beer')
('4258', 'sausage')
('4258', 'frozen meals')
('4403', 'other vegetables')
('4505', 'berries')
('4721', 'rolls/buns')
('4779', 'sauces')
('4946', 'soft cheese')
('1035', 'frozen vegetables')
('1108', 'frozen potato products')
('1108', 'specialty cheese')
('1235', 'curd')
('1353', 'other vegetables')
('1353', 'root vegetables')
('1393', 'dessert')
('2169', 'tropical fruit')
('2169', 'bottled beer')
('2401', 'hamburger meat')
('2401', 'butter')
('2415', 'candy')
('2771', 'coffee')
('2771', 'vinegar')
('2906', 'frankfurter')
('3225', 'white wine')
('3393', 'bottled water')
('3488', 'curd')
('3669', 'candles')
('4137', 'hamburger meat')
('4356', 'coffee')
('4499', 'soda')
('4499', 'specialty bar')
('1284', 'margarine')
('1284', 'rolls/buns')
('1333', 'curd')
('1333', 'butter')
('1410', 'specialty chocolate')
('1427', 'onions')
('1535', 'other vegetables')
('1658', 'pork')
('1658', 'coffee')
('1889', 'herbs')
('1889', 'canned beer')
('1983', 'rolls/buns')
('2358', 'root vegetables')
('2358', 'shopping bags')
('2837', 'frozen dessert')
('2837', 'bottled water')
('3094', 'bottled water')
('3139', 'other vegetables')
('3139', 'misc. beverages')
('3491', 'root vegetables')
('3491', 'specialty bar')
('3832', 'rolls/buns')
('3852', 'margarine')
('3852', 'dishes')
('4071', 'shopping bags')
('4071', 'chocolate')
('4148', 'whipped/sour cream')
('4228', 'other vegetables')
('4228', 'brown bread')
('4280', 'bottled water')
('1236', 'newspapers')
('1236', 'pip fruit')
('1465', 'whole milk')
('1575', 'seasonal products')
('1595', 'newspapers')
('1650', 'cream cheese ')
('1650', 'misc. beverages')
('1815', 'butter')
('2795', 'fruit/vegetable juice')
('2879', 'herbs')
('3458', 'mustard')
('3877', 'whole milk')
('3877', 'rolls/buns')
('3936', 'domestic eggs')
('4040', 'yogurt')
('4040', 'hygiene articles')
('4528', 'cookware')
('4713', 'bottled water')
('4713', 'frozen dessert')
('4713', 'newspapers')
('1015', 'rolls/buns')
('1015', 'chocolate')
('1175', 'specialty chocolate')
('1384', 'instant coffee')
('1566', 'other vegetables')
('1566', 'curd')
('1814', 'hamburger meat')
('1814', 'other vegetables')
('2160', 'specialty chocolate')
('2196', 'sliced cheese')
('2549', 'beef')
('2577', 'sausage')
('2603', 'spread cheese')
('2603', 'yogurt')
('2774', 'domestic eggs')
('3973', 'other vegetables')
('4190', 'bottled water')
('4246', 'specialty chocolate')
('4335', 'fruit/vegetable juice')
('4335', 'pickled vegetables')
('4799', 'other vegetables')
('4915', 'other vegetables')
('4915', 'whole milk')
('2087', 'whole milk')
('2087', 'dog food')
('2778', 'other vegetables')
('2839', 'beef')
('2839', 'red/blush wine')
('3529', 'pot plants')
('3731', 'other vegetables')
('3731', 'brown bread')
('4068', 'onions')
('4269', 'whipped/sour cream')
('4543', 'curd')
('4630', 'grapes')
('4630', 'canned fish')
('4866', 'citrus fruit')
('4866', 'soda')
('1418', 'citrus fruit')
('1674', 'chicken')
('1674', 'bottled water')
('1754', 'pickled vegetables')
('1935', 'frozen vegetables')
('2758', 'yogurt')
('2849', 'brown bread')
('2943', 'hamburger meat')
('3263', 'coffee')
('3389', 'yogurt')
('3447', 'canned fish')
('3464', 'margarine')
('3464', 'chocolate')
('3476', 'meat')
('3508', 'citrus fruit')
('3508', 'candy')
('4044', 'coffee')
('4091', 'meat spreads')
('4290', 'dessert')
('4290', 'yogurt')
('4683', 'flour')
('4842', 'pip fruit')
('4870', 'onions')
('1049', 'specialty bar')
('1049', 'margarine')
('1113', 'yogurt')
('1113', 'newspapers')
('1364', 'citrus fruit')
('1522', 'waffles')
('1747', 'margarine')
('1825', 'long life bakery product')
('1922', 'yogurt')
('1947', 'whole milk')
('2026', 'other vegetables')
('2026', 'margarine')
('2236', 'bottled beer')
('2236', 'soda')
('2236', 'candy')
('2573', 'brown bread')
('2588', 'whole milk')
('2898', 'rolls/buns')
('3444', 'syrup')
('3444', 'rice')
('3850', 'rolls/buns')
('3966', 'whole milk')
('3966', 'canned beer')
('4171', 'whole milk')
('4308', 'soda')
('4308', 'whole milk')
('4367', 'domestic eggs')
('4367', 'frozen vegetables')
('4551', 'pastry')
('4818', 'pip fruit')
('4818', 'white bread')
('4818', 'sliced cheese')
('4969', 'salty snack')
('4969', 'baking powder')
('1001', 'sausage')
('1216', 'citrus fruit')
('1343', 'chicken')
('1410', 'mustard')
('1410', 'soups')
('1617', 'sauces')
('1899', 'fruit/vegetable juice')
('2834', 'yogurt')
('3577', 'fruit/vegetable juice')
('4058', 'whole milk')
('4058', 'flour')
('4684', 'citrus fruit')
('4684', 'soda')
('4684', 'whipped/sour cream')
('4762', 'misc. beverages')
('1444', 'newspapers')
('1721', 'bottled water')
('1937', 'other vegetables')
('1990', 'rolls/buns')
('1990', 'whole milk')
('2166', 'root vegetables')
('2166', 'other vegetables')
('3279', 'frankfurter')
('3279', 'packaged fruit/vegetables')
('3326', 'beverages')
('3464', 'salt')
('3464', 'brown bread')
('3498', 'zwieback')
('3760', 'frozen vegetables')
('4050', 'UHT-milk')
('4050', 'curd')
('4143', 'mustard')
('1478', 'whipped/sour cream')
('1553', 'pip fruit')
('2455', 'rolls/buns')
('2519', 'root vegetables')
('2519', 'decalcifier')
('2524', 'chocolate')
('2904', 'sweet spreads')
('3248', 'spread cheese')
('3408', 'root vegetables')
('3757', 'mayonnaise')
('3768', 'hygiene articles')
('3966', 'whipped/sour cream')
('3966', 'shopping bags')
('3972', 'butter')
('4206', 'whipped/sour cream')
('4637', 'pastry')
('4637', 'napkins')
('1446', 'bottled water')
('1446', 'pastry')
('2094', 'other vegetables')
('2094', 'shopping bags')
('2306', 'bottled water')
('2306', 'fruit/vegetable juice')
('2381', 'whole milk')
('2381', 'soda')
('2453', 'sausage')
('3165', 'pip fruit')
('3213', 'hygiene articles')
('3324', 'ice cream')
('3324', 'other vegetables')
('3855', 'specialty chocolate')
('3855', 'vinegar')
('3932', 'coffee')
('4082', 'pastry')
('4082', 'domestic eggs')
('4082', 'dish cleaner')
('4115', 'shopping bags')
('4697', 'semi-finished bread')
('4806', 'liquor')
('4806', 'margarine')
('1022', 'sausage')
('1022', 'fruit/vegetable juice')
('1276', 'house keeping products')
('1304', 'hamburger meat')
('1304', 'other vegetables')
('1615', 'herbs')
('1674', 'detergent')
('1754', 'pastry')
('1754', 'bottled water')
('1779', 'long life bakery product')
('1830', 'citrus fruit')
('1853', 'hygiene articles')
('1853', 'bottled water')
('2014', 'brown bread')
('2183', 'vinegar')
('2589', 'whipped/sour cream')
('2955', 'hamburger meat')
('2955', 'soda')
('2962', 'root vegetables')
('2962', 'brown bread')
('2965', 'newspapers')
('2965', 'coffee')
('3090', 'newspapers')
('3295', 'hamburger meat')
('3295', 'other vegetables')
('3359', 'shopping bags')
('3359', 'butter')
('3479', 'turkey')
('3832', 'bottled beer')
('4859', 'other vegetables')
('4859', 'curd')
('1041', 'dessert')
('1138', 'citrus fruit')
('1547', 'whole milk')
('1547', 'cling film/bags')
('1609', 'pickled vegetables')
('1930', 'finished products')
('2043', 'fruit/vegetable juice')
('2571', 'pastry')
('2571', 'long life bakery product')
('2571', 'sliced cheese')
('2571', 'yogurt')
('2697', 'coffee')
('2697', 'soft cheese')
('2742', 'other vegetables')
('2742', 'UHT-milk')
('2753', 'whole milk')
('2753', 'butter')
('2829', 'soda')
('2984', 'whole milk')
('2984', 'soda')
('3082', 'pip fruit')
('3139', 'soda')
('3206', 'domestic eggs')
('3678', 'hygiene articles')
('4123', 'cooking chocolate')
('4232', 'root vegetables')
('4310', 'specialty chocolate')
('4338', 'salty snack')
('4338', 'waffles')
('4338', 'frozen dessert')
('4373', 'pork')
('4486', 'yogurt')
('4688', 'fruit/vegetable juice')
('4743', 'coffee')
('4837', 'other vegetables')
('1058', 'root vegetables')
('1173', 'specialty bar')
('1979', 'beef')
('1979', 'whole milk')
('2449', 'canned beer')
('2481', 'tropical fruit')
('2481', 'root vegetables')
('2645', 'dessert')
('2645', 'yogurt')
('2823', 'pastry')
('2823', 'napkins')
('3386', 'other vegetables')
('3761', 'soft cheese')
('3928', 'domestic eggs')
('3956', 'margarine')
('4066', 'citrus fruit')
('4114', 'flour')
('4291', 'coffee')
('4741', 'frozen vegetables')
('4741', 'flower (seeds)')
('4851', 'packaged fruit/vegetables')
('4851', 'frozen vegetables')
('1101', 'whole milk')
('1101', 'processed cheese')
('1244', 'UHT-milk')
('1747', 'roll products ')
('1747', 'rolls/buns')
('1810', 'other vegetables')
('1979', 'root vegetables')
('2059', 'whole milk')
('2152', 'whipped/sour cream')
('2152', 'flour')
('2371', 'meat')
('2633', 'frozen meals')
('3200', 'berries')
('3487', 'domestic eggs')
('3528', 'salty snack')
('3589', 'pastry')
('3653', 'other vegetables')
('3653', 'margarine')
('3793', 'other vegetables')
('3797', 'semi-finished bread')
('4181', 'ice cream')
('4181', 'rolls/buns')
('4413', 'nuts/prunes')
('4413', 'margarine')
('4547', 'napkins')
('4547', 'newspapers')
('4790', 'frozen vegetables')
('4838', 'frozen vegetables')
('4838', 'yogurt')
('1079', 'bottled water')
('1269', 'red/blush wine')
('1269', 'canned fruit')
('1320', 'coffee')
('2017', 'dog food')
('2017', 'seasonal products')
('2229', 'rolls/buns')
('2366', 'chewing gum')
('3181', 'domestic eggs')
('3181', 'salty snack')
('3266', 'salty snack')
('3397', 'white bread')
('3618', 'beef')
('3618', 'mayonnaise')
('4389', 'long life bakery product')
('4541', 'rolls/buns')
('4541', 'semi-finished bread')
('4650', 'whole milk')
('4650', 'UHT-milk')
('1062', 'ham')
('1062', 'whipped/sour cream')
('1062', 'ketchup')
('1118', 'pip fruit')
('1256', 'berries')
('1256', 'domestic eggs')
('1616', 'pastry')
('1734', 'napkins')
('1734', 'yogurt')
('1922', 'pastry')
('2048', 'root vegetables')
('2055', 'domestic eggs')
('2160', 'white bread')
('2244', 'beef')
('2244', 'rolls/buns')
('2855', 'hygiene articles')
('2897', 'curd')
('3118', 'other vegetables')
('3437', 'frozen vegetables')
('3539', 'white bread')
('3539', 'frozen dessert')
('3539', 'pastry')
('3649', 'chocolate')
('3683', 'bottled water')
('3857', 'other vegetables')
('4445', 'whole milk')
('4606', 'fruit/vegetable juice')
('4704', 'other vegetables')
