('Member_number', 'itemDescription')
('4825', 'soda')
('4825', 'citrus fruit')
('1028', 'rolls/buns')
('1479', 'tropical fruit')
('1479', 'liquor (appetizer)')
('1544', 'root vegetables')
('1544', 'brown bread')
('1904', 'other vegetables')
('1935', 'other vegetables')
('1935', 'sweet spreads')
('2147', 'tropical fruit')
('2195', 'misc. beverages')
('2195', 'margarine')
('2217', 'whipped/sour cream')
('2217', 'curd')
('2233', 'domestic eggs')
('2504', 'pip fruit')
('2937', 'dishes')
('3022', 'whole milk')
('3186', 'misc. beverages')
('3207', 'yogurt')
('3325', 'UHT-milk')
('3325', 'cream cheese ')
('3790', 'Instant food products')
('3790', 'yogurt')
('4117', 'citrus fruit')
('4117', 'candy')
('4426', 'whole milk')
('4426', 'ice cream')
('4492', 'brown bread')
('4492', 'chocolate')
('4494', 'beef')
('4515', 'other vegetables')
('4515', 'soda')
('4946', 'bottled beer')
('4991', 'yogurt')
('1114', 'salty snack')
('1274', 'tidbits')
('1274', 'cream cheese ')
('1466', 'root vegetables')
('1508', 'brown bread')
('1598', 'cream cheese ')
('1598', 'rolls/buns')
('1719', 'sliced cheese')
('2137', 'napkins')
('2307', 'fruit/vegetable juice')
('2307', 'soft cheese')
('2648', 'root vegetables')
('3028', 'frankfurter')
('3157', 'whole milk')
('3181', 'bottled beer')
('3437', 'soda')
('3437', 'canned vegetables')
('3782', 'meat spreads')
('3782', 'tropical fruit')
('3782', 'rolls/buns')
('3835', 'seasonal products')
('4160', 'bottled beer')
('4444', 'long life bakery product')
('4444', 'pastry')
('4445', 'light bulbs')
('4445', 'long life bakery product')
('4736', 'seasonal products')
('1128', 'domestic eggs')
('1496', 'root vegetables')
('2555', 'brown bread')
('2778', 'yogurt')
('2778', 'pip fruit')
('3674', 'frozen vegetables')
('3989', 'ready soups')
('4073', 'misc. beverages')
('4343', 'pastry')
('4488', 'soda')
('4578', 'root vegetables')
('4578', 'shopping bags')
('4862', 'flower (seeds)')
('1563', 'long life bakery product')
('1563', 'waffles')
('1682', 'liquor')
('2070', 'root vegetables')
('2126', 'other vegetables')
('2242', 'rolls/buns')
('2242', 'liquor (appetizer)')
('2381', 'pip fruit')
('2381', 'yogurt')
('2745', 'dessert')
('2802', 'chocolate')
('2908', 'flour')
('2908', 'rolls/buns')
('2958', 'softener')
('3439', 'whole milk')
('3439', 'soda')
('3826', 'coffee')
('3908', 'flour')
('4337', 'coffee')
('4958', 'margarine')
('1034', 'bottled water')
('1034', 'domestic eggs')
('1034', 'frozen meals')
('1207', 'ham')
('1207', 'shopping bags')
('1215', 'yogurt')
('1279', 'pastry')
('1279', 'sliced cheese')
('1373', 'tea')
('1551', 'mayonnaise')
('1551', 'instant coffee')
('2047', 'waffles')
('2787', 'chocolate')
('2838', 'liver loaf')
('2838', 'waffles')
('3804', 'rolls/buns')
('4252', 'bottled water')
('1389', 'tea')
('1512', 'fruit/vegetable juice')
('1864', 'domestic eggs')
('1864', 'softener')
('1946', 'cooking chocolate')
('1946', 'shopping bags')
('2181', 'frankfurter')
('2996', 'coffee')
('2996', 'butter milk')
('3027', 'frozen vegetables')
('3175', 'rolls/buns')
('3749', 'canned beer')
('3749', 'specialty cheese')
('4028', 'tropical fruit')
('4028', 'red/blush wine')
('4067', 'tropical fruit')
('4404', 'root vegetables')
('4404', 'cream cheese ')
('1053', 'soda')
('1163', 'white bread')
('1163', 'frozen vegetables')
('1205', 'whole milk')
('1325', 'napkins')
('1810', 'domestic eggs')
('1810', 'bottled water')
('1999', 'cream cheese ')
('2562', 'nut snack')
('2562', 'whole milk')
('2701', 'chocolate marshmallow')
('2991', 'tropical fruit')
('2991', 'salt')
('3511', 'newspapers')
('3703', 'sausage')
('3784', 'root vegetables')
('3784', 'whipped/sour cream')
('3812', 'bottled water')
('4039', 'whole milk')
('4401', 'hygiene articles')
('4403', 'dental care')
('4785', 'shopping bags')
('4799', 'pot plants')
('4799', 'spread cheese')
('4799', 'butter milk')
('1969', 'fruit/vegetable juice')
('2129', 'berries')
('2129', 'coffee')
('2174', 'bottled water')
('2174', 'domestic eggs')
('2193', 'whole milk')
('2193', 'bottled beer')
('2238', 'curd')
('2238', 'whole milk')
('2269', 'hamburger meat')
('2618', 'whipped/sour cream')
('2725', 'baking powder')
('2982', 'sugar')
('3425', 'citrus fruit')
('3425', 'soda')
('3639', 'flower (seeds)')
('3684', 'rolls/buns')
('3814', 'red/blush wine')
('4442', 'baking powder')
('4601', 'cream cheese ')
('4823', 'frozen meals')
('4938', 'shopping bags')
('4938', 'UHT-milk')
('1381', 'coffee')
('1468', 'shopping bags')
('1468', 'seasonal products')
('2001', 'root vegetables')
('2001', 'chocolate')
('2001', 'shopping bags')
('2018', 'tropical fruit')
('2018', 'rolls/buns')
('2066', 'flour')
('2169', 'long life bakery product')
('2289', 'shopping bags')
('2289', 'red/blush wine')
('2453', 'rolls/buns')
('3306', 'root vegetables')
('3306', 'dog food')
('3476', 'rolls/buns')
('4177', 'fruit/vegetable juice')
('4177', 'yogurt')
('4393', 'whole milk')
('4645', 'oil')
('4645', 'waffles')
('1010', 'UHT-milk')
('1057', 'salty snack')
('1057', 'pickled vegetables')
('1124', 'hygiene articles')
('1209', 'shopping bags')
('1475', 'pastry')
('1609', 'whole milk')
('2900', 'sausage')
('3059', 'sausage')
('3059', 'beverages')
('4667', 'white wine')
('4896', 'root vegetables')
('4896', 'other vegetables')
('4896', 'whipped/sour cream')
('4896', 'sweet spreads')
('1028', 'sugar')
('1127', 'citrus fruit')
('1127', 'soda')
('1162', 'coffee')
('1399', 'other vegetables')
('1575', 'dessert')
('1761', 'shopping bags')
('1887', 'rolls/buns')
('2033', 'yogurt')
('2033', 'pot plants')
('2045', 'pickled vegetables')
('2067', 'beverages')
('2067', 'bottled water')
('2067', 'yogurt')
('2181', 'bottled water')
('2362', 'onions')
('3416', 'bottled beer')
('3416', 'canned vegetables')
('3523', 'pastry')
('3523', 'whisky')
('3696', 'citrus fruit')
('3696', 'roll products ')
('3863', 'beverages')
('3863', 'bottled water')
('4197', 'coffee')
('4197', 'long life bakery product')
('1369', 'spread cheese')
('1480', 'shopping bags')
('1550', 'pork')
('1652', 'newspapers')
('1652', 'yogurt')
('1686', 'root vegetables')
('1702', 'whipped/sour cream')
('1702', 'decalcifier')
('2037', 'napkins')
('2644', 'misc. beverages')
('2644', 'pet care')
('2733', 'whole milk')
('2851', 'specialty chocolate')
('2851', 'salad dressing')
('3142', 'butter')
('3142', 'rolls/buns')
('4037', 'tea')
('4037', 'oil')
('4220', 'rolls/buns')
('4493', 'other vegetables')
('4493', 'whole milk')
('4867', 'frozen fish')
('1169', 'cleaner')
('1447', 'fruit/vegetable juice')
('1753', 'fruit/vegetable juice')
('1822', 'candy')
('1822', 'citrus fruit')
('1822', 'pasta')
('1822', 'soda')
('1970', 'white bread')
('2272', 'napkins')
('2357', 'pip fruit')
('2357', 'frozen vegetables')
('2501', 'other vegetables')
('2656', 'bottled water')
('2656', 'yogurt')
('2981', 'canned beer')
('3144', 'other vegetables')
('3144', 'shopping bags')
('3306', 'canned beer')
('3306', 'whole milk')
('3570', 'cake bar')
('4875', 'pip fruit')
('1006', 'rolls/buns')
('1294', 'hygiene articles')
('1448', 'salty snack')
('1448', 'frozen vegetables')
('1659', 'yogurt')
('1682', 'citrus fruit')
('1891', 'whole milk')
('1891', 'UHT-milk')
('1891', 'candy')
('2031', 'other vegetables')
('2031', 'whole milk')
('2122', 'hamburger meat')
('2122', 'pet care')
('2133', 'pork')
('2359', 'whole milk')
('2359', 'instant coffee')
('2931', 'seasonal products')
('3724', 'sweet spreads')
('4307', 'shopping bags')
('4623', 'salty snack')
('4656', 'liquor')
('4756', 'beef')
('4756', 'whole milk')
('4894', 'whole milk')
('4894', 'brown bread')
('4956', 'mayonnaise')
('4956', 'salt')
('1461', 'other vegetables')
('1461', 'beef')
('1606', 'butter')
('1606', 'red/blush wine')
('1791', 'pork')
('1892', 'citrus fruit')
('2421', 'bottled beer')
('2421', 'shopping bags')
('2815', 'waffles')
('2815', 'yogurt')
('3900', 'yogurt')
('3900', 'pudding powder')
('3976', 'tropical fruit')
('4101', 'hamburger meat')
('4101', 'margarine')
('4146', 'sausage')
('4146', 'pastry')
('4191', 'citrus fruit')
('4327', 'soda')
('4369', 'red/blush wine')
('4385', 'meat')
('4385', 'bottled water')
('4385', 'abrasive cleaner')
('4581', 'coffee')
('4581', 'sliced cheese')
('1314', 'canned beer')
('1314', 'ice cream')
('2129', 'condensed milk')
('2619', 'other vegetables')
('2824', 'frozen fish')
('2824', 'cling film/bags')
('3068', 'hamburger meat')
('3068', 'dog food')
('3205', 'chewing gum')
('3335', 'fruit/vegetable juice')
('3335', 'canned fish')
('3335', 'light bulbs')
('3335', 'long life bakery product')
('3524', 'hygiene articles')
('3524', 'dessert')
('3737', 'other vegetables')
('3737', 'bottled beer')
('3969', 'waffles')
('4160', 'chocolate')
('4160', 'soda')
('4598', 'citrus fruit')
('4641', 'waffles')
('4653', 'rolls/buns')
('1343', 'red/blush wine')
('1343', 'dog food')
('1607', 'onions')
('1645', 'whole milk')
('2231', 'citrus fruit')
('3125', 'oil')
('3509', 'waffles')
('3632', 'tropical fruit')
('3683', 'shopping bags')
('3683', 'curd')
('3871', 'rolls/buns')
('3976', 'rolls/buns')
('3976', 'specialty cheese')
('4007', 'yogurt')
('4054', 'cream cheese ')
('4054', 'whipped/sour cream')
('4107', 'frankfurter')
('4107', 'pastry')
('4178', 'soda')
('4314', 'sausage')
('4314', 'oil')
('4316', 'beef')
('4378', 'vinegar')
('4659', 'frozen dessert')
('1070', 'newspapers')
('1472', 'yogurt')
('1472', 'hygiene articles')
('1476', 'liquor')
('1476', 'UHT-milk')
('1492', 'butter')
('1492', 'whipped/sour cream')
('1566', 'berries')
('1566', 'frozen meals')
('1700', 'pip fruit')
('1859', 'butter milk')
('1859', 'softener')
('1945', 'whipped/sour cream')
('2319', 'baking powder')
('2330', 'sausage')
('2810', 'sausage')
('2810', 'frozen meals')
('2837', 'soap')
('2986', 'UHT-milk')
('3206', 'soda')
('3206', 'instant coffee')
('3251', 'beef')
('3251', 'rolls/buns')
('3396', 'bottled beer')
('3396', 'flour')
('3554', 'artif. sweetener')
('3554', 'salty snack')
('3594', 'misc. beverages')
('3616', 'misc. beverages')
('3616', 'cling film/bags')
('3616', 'curd')
('3747', 'sausage')
('3942', 'dish cleaner')
('3942', 'frozen vegetables')
('3942', 'waffles')
('3968', 'bottled beer')
('4104', 'domestic eggs')
('4104', 'curd cheese')
('4163', 'root vegetables')
('4163', 'sugar')
('4598', 'root vegetables')
('4665', 'cake bar')
('4967', 'chewing gum')
('4974', 'root vegetables')
('4974', 'shopping bags')
('1052', 'soda')
('1052', 'hamburger meat')
('1089', 'yogurt')
('1265', 'UHT-milk')
('1265', 'root vegetables')
('2288', 'sliced cheese')
('2661', 'other vegetables')
('2661', 'soda')
('2662', 'artif. sweetener')
('2887', 'waffles')
('3915', 'pip fruit')
('3915', 'domestic eggs')
('3947', 'cocoa drinks')
('4109', 'rolls/buns')
('4244', 'processed cheese')
('4471', 'whole milk')
('4471', 'cream cheese ')
('4694', 'onions')
('4694', 'yogurt')
('4835', 'shopping bags')
('4835', 'margarine')
('1034', 'newspapers')
('1422', 'candy')
('1666', 'pip fruit')
('1666', 'flower (seeds)')
('1702', 'margarine')
('1847', 'newspapers')
('1991', 'newspapers')
('1991', 'long life bakery product')
('2138', 'curd')
('2138', 'whole milk')
('2138', 'canned beer')
('2144', 'pork')
('2218', 'root vegetables')
('2623', 'fish')
('2623', 'canned beer')
('2623', 'chocolate')
('2736', 'napkins')
('2736', 'frozen vegetables')
('2736', 'pastry')
('3248', 'liquor')
('3287', 'dessert')
('3947', 'pip fruit')
('3947', 'newspapers')
('4005', 'rolls/buns')
('4236', 'napkins')
('4236', 'skin care')
('4330', 'domestic eggs')
('4461', 'cake bar')
('4461', 'white bread')
('4461', 'newspapers')
('1027', 'salt')
('1027', 'whole milk')
('1980', 'berries')
('2176', 'butter')
('2332', 'citrus fruit')
('2332', 'other vegetables')
('2374', 'soda')
('2756', 'canned fish')
('3348', 'brown bread')
('3354', 'sparkling wine')
('3354', 'female sanitary products')
('3439', 'liquor (appetizer)')
('3782', 'whole milk')
('3782', 'butter')
('3960', 'curd')
('3960', 'margarine')
('4817', 'UHT-milk')
('4876', 'yogurt')
('4932', 'pip fruit')
('1066', 'whole milk')
('1066', 'other vegetables')
('1107', 'beef')
('1107', 'specialty fat')
('1267', 'butter')
('1267', 'whole milk')
('1561', 'sugar')
('1587', 'rolls/buns')
('1680', 'pet care')
('1680', 'dog food')
('1686', 'brown bread')
('1686', 'canned beer')
('1726', 'pastry')
('1726', 'detergent')
('1770', 'pickled vegetables')
('2507', 'brown bread')
('2507', 'canned beer')
('3077', 'pastry')
('3409', 'grapes')
('3576', 'pot plants')
('4272', 'bottled water')
('4342', 'pip fruit')
('4544', 'bottled water')
('4674', 'dishes')
('4743', 'soda')
('4743', 'other vegetables')
('4770', 'pastry')
('4813', 'soda')
('4813', 'rolls/buns')
('4957', 'misc. beverages')
('1053', 'rolls/buns')
('1274', 'rolls/buns')
('1466', 'chocolate')
('1494', 'hard cheese')
('1494', 'soft cheese')
('1494', 'yogurt')
('1560', 'white bread')
('1560', 'salty snack')
('2633', 'other vegetables')
('2666', 'soda')
('2666', 'margarine')
('3828', 'bottled water')
('3990', 'butter')
('4292', 'bottled beer')
('4292', 'brown bread')
('4373', 'nut snack')
('1023', 'chicken')
('1023', 'frozen meals')
('1419', 'pastry')
('1572', 'chicken')
('1572', 'long life bakery product')
('2024', 'margarine')
('2024', 'canned beer')
('2374', 'canned beer')
('2447', 'rolls/buns')
('3402', 'white bread')
('3402', 'coffee')
('3620', 'berries')
('3840', 'soda')
('4052', 'UHT-milk')
('4103', 'canned beer')
('4145', 'onions')
('4145', 'pastry')
('4306', 'white bread')
('4306', 'napkins')
('4480', 'frankfurter')
('4585', 'yogurt')
('4585', 'pastry')
('1190', 'pip fruit')
('1204', 'yogurt')
('1438', 'butter')
('1573', 'other vegetables')
('1985', 'whole milk')
('2709', 'other vegetables')
('2758', 'soda')
('2831', 'soda')
('3526', 'specialty cheese')
('3621', 'other vegetables')
('3705', 'frozen meals')
('3705', 'yogurt')
('3834', 'salty snack')
('4019', 'chewing gum')
('4019', 'bottled water')
('4039', 'hamburger meat')
('4097', 'butter')
('4291', 'root vegetables')
('4585', 'domestic eggs')
('4622', 'brown bread')
('4622', 'whipped/sour cream')
('4781', 'sugar')
('1061', 'beef')
('1061', 'chocolate')
('1257', 'frozen dessert')
('1296', 'soft cheese')
('1296', 'flower (seeds)')
('1317', 'rolls/buns')
('1580', 'citrus fruit')
('2184', 'shopping bags')
('2184', 'whole milk')
('3357', 'beverages')
('3357', 'long life bakery product')
('3357', 'hygiene articles')
('3461', 'white bread')
('3502', 'fruit/vegetable juice')
('3660', 'rolls/buns')
('3681', 'specialty fat')
('3740', 'pork')
('3740', 'napkins')
('3816', 'root vegetables')
('3816', 'dog food')
('3893', 'pip fruit')
('4256', 'bottled water')
('4464', 'other vegetables')
('4464', 'soda')
('4798', 'soda')
('4957', 'butter')
('4999', 'detergent')
('1069', 'fruit/vegetable juice')
('1395', 'shopping bags')
('1450', 'canned beer')
('1636', 'root vegetables')
('1795', 'domestic eggs')
('1795', 'dessert')
('1910', 'rolls/buns')
('1910', 'other vegetables')
('1924', 'other vegetables')
('2339', 'ham')
('2746', 'frozen meals')
('2746', 'pickled vegetables')
('3450', 'beverages')
('3450', 'pastry')
('3711', 'domestic eggs')
('4030', 'brown bread')
('4222', 'other vegetables')
('4278', 'canned vegetables')
('4563', 'root vegetables')
('4563', 'margarine')
('4652', 'baking powder')
('4652', 'bottled water')
('4662', 'frozen meals')
('4662', 'bottled water')
('4851', 'chocolate')
('1625', 'butter')
('1687', 'domestic eggs')
('1862', 'oil')
('1916', 'citrus fruit')
('1916', 'whole milk')
('2380', 'whole milk')
('2693', 'white bread')
('2713', 'frozen meals')
('3082', 'whole milk')
('3101', 'fruit/vegetable juice')
('3246', 'rolls/buns')
('3246', 'root vegetables')
('3485', 'pork')
('3485', 'napkins')
('4430', 'citrus fruit')
('4430', 'cream cheese ')
('1023', 'male cosmetics')
('1108', 'pastry')
('1108', 'grapes')
('1142', 'newspapers')
('1142', 'soups')
('1170', 'whole milk')
('1170', 'canned beer')
('2371', 'UHT-milk')
('2371', 'other vegetables')
('2648', 'soda')
('2672', 'soda')
('2672', 'flour')
('2729', 'soft cheese')
('3116', 'pickled vegetables')
('3414', 'whipped/sour cream')
('3414', 'whole milk')
('3487', 'whipped/sour cream')
('3916', 'tropical fruit')
('4274', 'whipped/sour cream')
('4368', 'coffee')
('4368', 'yogurt')
('1053', 'whole milk')
('1053', 'sugar')
('1146', 'yogurt')
('1554', 'soda')
('1711', 'herbs')
('1928', 'newspapers')
('1928', 'napkins')
('2142', 'seasonal products')
('2175', 'pastry')
('2666', 'bottled beer')
('2715', 'pip fruit')
('2715', 'yogurt')
('2873', 'frozen vegetables')
('2873', 'newspapers')
('3016', 'other vegetables')
('3048', 'pastry')
('3350', 'newspapers')
('3733', 'butter')
('4099', 'Instant food products')
('4116', 'dishes')
('4445', 'flower (seeds)')
('4445', 'domestic eggs')
('4761', 'frozen fish')
('4761', 'ketchup')
('4948', 'root vegetables')
('4948', 'curd')
('1058', 'chicken')
('1507', 'yogurt')
('1507', 'domestic eggs')
('1507', 'frozen vegetables')
('1507', 'fruit/vegetable juice')
('1764', 'coffee')
('1887', 'bottled beer')
('2133', 'bottled water')
('2613', 'domestic eggs')
('2613', 'yogurt')
('2957', 'frozen vegetables')
('2974', 'tropical fruit')
('3138', 'other vegetables')
('3916', 'canned beer')
('3916', 'dishes')
('4169', 'whole milk')
('4169', 'canned beer')
('4371', 'butter')
('4410', 'rolls/buns')
('4410', 'candy')
('4489', 'curd')
('4489', 'other vegetables')
('4656', 'rolls/buns')
('4709', 'citrus fruit')
('4709', 'other vegetables')
('1085', 'yogurt')
('1085', 'newspapers')
('1204', 'waffles')
('1212', 'beef')
('1339', 'grapes')
('1339', 'frozen vegetables')
('1339', 'vinegar')
('1480', 'beef')
('1785', 'curd')
('2060', 'brown bread')
('2357', 'frozen meals')
('2383', 'condensed milk')
('2831', 'margarine')
('2855', 'tropical fruit')
('2855', 'UHT-milk')
('3051', 'salty snack')
('3068', 'whole milk')
('3068', 'pasta')
('3399', 'brown bread')
('3399', 'rolls/buns')
('3399', 'soda')
('3399', 'whole milk')
('3679', 'salty snack')
('3745', 'bottled water')
('4075', 'other vegetables')
('4075', 'margarine')
('4331', 'coffee')
('4376', 'whipped/sour cream')
('1456', 'whipped/sour cream')
('1497', 'packaged fruit/vegetables')
('1497', 'tea')
('2063', 'other vegetables')
('2522', 'pasta')
('2522', 'soda')
('2581', 'bottled water')
('2581', 'dessert')
('2629', 'whole milk')
('2629', 'candy')
('2666', 'whole milk')
('2666', 'chocolate')
('2758', 'UHT-milk')
('2758', 'flour')
('2784', 'whole milk')
('2784', 'whipped/sour cream')
('2784', 'house keeping products')
('2924', 'newspapers')
('3081', 'canned fish')
('3081', 'yogurt')
('3081', 'specialty vegetables')
('3115', 'frozen vegetables')
('3338', 'hamburger meat')
('3338', 'pasta')
('3561', 'frankfurter')
('3646', 'whipped/sour cream')
('3764', 'bottled water')
('4154', 'white bread')
('4154', 'mustard')
('4178', 'butter')
('4494', 'sugar')
('4562', 'female sanitary products')
('4562', 'soda')
('1018', 'berries')
('1018', 'cake bar')
('2029', 'yogurt')
('2029', 'bottled water')
('2493', 'hard cheese')
('2543', 'root vegetables')
('2543', 'whipped/sour cream')
('2917', 'rolls/buns')
('2918', 'rolls/buns')
('2963', 'frozen vegetables')
('2967', 'oil')
('3083', 'waffles')
('3083', 'fruit/vegetable juice')
('3116', 'chewing gum')
('3116', 'frozen vegetables')
('3560', 'light bulbs')
('3560', 'detergent')
('3582', 'rolls/buns')
('3582', 'whole milk')
('3982', 'meat')
('4014', 'yogurt')
('4370', 'yogurt')
('4370', 'pastry')
('4394', 'pastry')
('4522', 'soda')
('1218', 'meat')
('1509', 'citrus fruit')
('1594', 'specialty bar')
('1930', 'soda')
('2329', 'misc. beverages')
('2349', 'whole milk')
('2548', 'waffles')
('2849', 'pip fruit')
('2954', 'soda')
('4230', 'pastry')
('4512', 'seasonal products')
('4512', 'chocolate')
('4594', 'whole milk')
('4594', 'soda')
('4650', 'pastry')
('4809', 'margarine')
('4836', 'salty snack')
('4973', 'yogurt')
('4973', 'newspapers')
('1169', 'finished products')
('1169', 'newspapers')
('1285', 'chocolate marshmallow')
('1285', 'napkins')
('1285', 'bottled water')
('1359', 'tropical fruit')
('1359', 'frozen fish')
('1359', 'soda')
('1513', 'whipped/sour cream')
('1513', 'sparkling wine')
('1513', 'bottled beer')
('1529', 'bottled water')
('1632', 'newspapers')
('1653', 'whole milk')
('1653', 'margarine')
('2789', 'bottled beer')
('3193', 'yogurt')
('3204', 'yogurt')
('3297', 'fruit/vegetable juice')
('3297', 'frozen meals')
('3435', 'hamburger meat')
('3435', 'pasta')
('3584', 'whipped/sour cream')
('3922', 'soda')
('4030', 'butter')
('4030', 'margarine')
('4159', 'other vegetables')
('4159', 'dishes')
('4211', 'whipped/sour cream')
('4261', 'dessert')
('4261', 'whisky')
('4319', 'tropical fruit')
('4577', 'frozen meals')
('4577', 'soups')
('4764', 'soap')
('4764', 'brown bread')
('1021', 'sliced cheese')
('1050', 'pasta')
('1050', 'cat food')
('1110', 'yogurt')
('1125', 'root vegetables')
('1125', 'margarine')
('1125', 'rolls/buns')
('1632', 'white bread')
('1690', 'brown bread')
('1690', 'rolls/buns')
('1693', 'waffles')
('1908', 'misc. beverages')
('1922', 'whole milk')
('1922', 'whipped/sour cream')
('2120', 'butter')
('2120', 'potato products')
('2146', 'sausage')
('2146', 'bottled water')
('2612', 'tropical fruit')
('2773', 'female sanitary products')
('2773', 'margarine')
('2831', 'butter')
('2857', 'meat')
('2857', 'waffles')
('3481', 'other vegetables')
('4165', 'rolls/buns')
('4363', 'hygiene articles')
('4363', 'coffee')
('4606', 'candy')
('4622', 'citrus fruit')
('4901', 'frozen meals')
('4902', 'other vegetables')
('4902', 'butter')
('4917', 'frankfurter')
('1387', 'rolls/buns')
('1387', 'soda')
('1387', 'shopping bags')
('1556', 'soft cheese')
('1948', 'yogurt')
('1999', 'tropical fruit')
('1999', 'butter')
('1999', 'dog food')
('2025', 'pastry')
('2025', 'cake bar')
('2055', 'rolls/buns')
('2055', 'soda')
('2059', 'domestic eggs')
('2154', 'hygiene articles')
('2154', 'pastry')
('2293', 'shopping bags')
('2336', 'salty snack')
('2445', 'tropical fruit')
('2445', 'ice cream')
('3362', 'pip fruit')
('3466', 'newspapers')
('3515', 'onions')
('3612', 'other vegetables')
('3645', 'yogurt')
('3930', 'tropical fruit')
('3930', 'curd')
('3930', 'brown bread')
('3980', 'pip fruit')
('4124', 'fruit/vegetable juice')
('4567', 'bottled water')
('4567', 'coffee')
('4674', 'whole milk')
('4985', 'dessert')
('1057', 'domestic eggs')
('1057', 'sliced cheese')
('1410', 'dishes')
('1410', 'rum')
('1440', 'fruit/vegetable juice')
('1489', 'vinegar')
('1489', 'newspapers')
('1828', 'spread cheese')
('2010', 'yogurt')
('2284', 'tropical fruit')
('2354', 'rolls/buns')
('2595', 'curd')
('2595', 'cream cheese ')
('2638', 'root vegetables')
('2638', 'misc. beverages')
('3006', 'waffles')
('3113', 'cling film/bags')
('3218', 'dishes')
('3595', 'domestic eggs')
('3595', 'bottled water')
('3595', 'waffles')
('3743', 'coffee')
('3743', 'domestic eggs')
('3849', 'whole milk')
('4575', 'sausage')
('4575', 'mustard')
('4913', 'onions')
('4975', 'canned beer')
('1025', 'coffee')
('1127', 'roll products ')
('1425', 'citrus fruit')
('1425', 'root vegetables')
('1435', 'soda')
('2251', 'citrus fruit')
('2251', 'other vegetables')
('2321', 'pip fruit')
('2489', 'bottled beer')
('2489', 'rolls/buns')
('3104', 'bottled beer')
('3104', 'soda')
('3104', 'rolls/buns')
('3238', 'specialty bar')
('3238', 'canned beer')
('3248', 'whole milk')
('3518', 'other vegetables')
('3675', 'pastry')
('3684', 'whole milk')
('3684', 'other vegetables')
('4700', 'whole milk')
('4700', 'bottled beer')
('1050', 'house keeping products')
('1116', 'other vegetables')
('1282', 'white bread')
('1493', 'oil')
('2816', 'whole milk')
('2881', 'margarine')
('3295', 'yogurt')
('3305', 'newspapers')
('3323', 'rolls/buns')
('3643', 'fruit/vegetable juice')
('3775', 'dessert')
('3917', 'butter')
('4415', 'tropical fruit')
('4415', 'bottled beer')
('4515', 'root vegetables')
('4515', 'sugar')
('4690', 'whole milk')
('4771', 'coffee')
('4771', 'specialty vegetables')
('1331', 'fruit/vegetable juice')
('1654', 'whole milk')
('1717', 'pip fruit')
('1803', 'onions')
('1895', 'other vegetables')
('1895', 'canned beer')
('1922', 'chocolate')
('1961', 'other vegetables')
('2122', 'soda')
('2343', 'white bread')
('2343', 'salty snack')
('2806', 'curd')
('3593', 'chocolate')
('3737', 'soda')
('3896', 'soda')
('4292', 'frozen potato products')
('4292', 'salt')
('4329', 'dishes')
('4680', 'grapes')
('4680', 'waffles')
('4823', 'dish cleaner')
('1309', 'pastry')
('1309', 'pickled vegetables')
('2075', 'soda')
('2215', 'flower (seeds)')
('2325', 'onions')
('2325', 'specialty chocolate')
('2421', 'other vegetables')
('2421', 'UHT-milk')
('2744', 'frozen vegetables')
('2825', 'photo/film')
('2825', 'frozen potato products')
('3142', 'soda')
('3142', 'other vegetables')
('3158', 'bottled beer')
('3158', 'soda')
('3364', 'oil')
('3557', 'yogurt')
('3670', 'dish cleaner')
('3670', 'domestic eggs')
('3942', 'canned fish')
('3942', 'domestic eggs')
('4065', 'flower (seeds)')
('4265', 'butter milk')
('4377', 'whole milk')
('4409', 'kitchen towels')
('4654', 'rolls/buns')
('1037', 'chewing gum')
('1037', 'cake bar')
('1282', 'bottled water')
('1328', 'other vegetables')
('1328', 'bottled beer')
('1507', 'bottled water')
('1865', 'bottled beer')
('1865', 'brown bread')
('1870', 'other vegetables')
('2112', 'popcorn')
('2123', 'cream cheese ')
('2194', 'frozen vegetables')
('2389', 'bottled water')
('2389', 'frozen vegetables')
('2439', 'coffee')
('2453', 'root vegetables')
('2453', 'whole milk')
('2653', 'dessert')
('2653', 'newspapers')
('2789', 'butter')
('2922', 'misc. beverages')
('3479', 'pip fruit')
('4121', 'whipped/sour cream')
('4163', 'whole milk')
('4163', 'cat food')
('4163', 'bottled beer')
('4370', 'sausage')
('4484', 'canned fish')
('4509', 'meat')
('4509', 'male cosmetics')
('4509', 'fruit/vegetable juice')
('4583', 'tropical fruit')
('4583', 'other vegetables')
('4624', 'vinegar')
('4624', 'napkins')
('1297', 'house keeping products')
('1410', 'kitchen towels')
('1410', 'bottled beer')
('1681', 'pip fruit')
('1681', 'popcorn')
('1681', 'bottled water')
('1787', 'pork')
('1787', 'long life bakery product')
('1932', 'tropical fruit')
('1932', 'bottled beer')
('1932', 'other vegetables')
('1961', 'citrus fruit')
('1961', 'rolls/buns')
('2119', 'cat food')
('2285', 'UHT-milk')
('2839', 'napkins')
('2839', 'specialty chocolate')
('3073', 'fruit/vegetable juice')
('3073', 'pastry')
('3627', 'frozen meals')
('3627', 'brandy')
('3727', 'coffee')
('3737', 'rolls/buns')
('3737', 'brown bread')
('3781', 'tropical fruit')
('3781', 'margarine')
('4564', 'newspapers')
('1095', 'pickled vegetables')
('1337', 'cling film/bags')
('1735', 'soda')
('1796', 'chocolate')
('2054', 'liquor (appetizer)')
('2054', 'shopping bags')
('2497', 'sausage')
('2530', 'spread cheese')
